block;bee_hive;loaf;boat;tub;blinker;toad;beacon;pulsar;glider
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;[[0, 0, 0, 1]];0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;[[0, 0, 6, 2]];0;0;0;0
[[0, 0, 10, 17]];0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;[[0, 1, 9, 16]];0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;[[0, 0, 11, 12]];0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;[[0, 0, 3, 14]];0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
[[0, 0, 5, 14]];0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
[[0, 0, 9, 4]];0;0;0;0;[[0, 0, 14, 1]];0;0;0;0
0;0;0;0;0;[[0, 1, 14, 1]];0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
[[0, 0, 0, 1], [0, 0, 11, 15], [0, 0, 15, 1]];0;0;0;0;0;0;0;0;0
[[0, 0, 0, 1], [0, 0, 11, 15]];0;0;0;0;0;0;0;0;0
[[0, 0, 0, 1], [0, 0, 11, 15], [0, 0, 13, 7]];0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;[[0, 0, 12, 6]];0;0;0;0
0;0;0;0;0;[[0, 1, 12, 6]];0;0;0;0
0;0;0;0;0;0;0;0;0;0
[[0, 0, 6, 6]];0;0;0;0;0;0;0;0;0
[[0, 0, 6, 6]];0;0;0;0;0;0;0;0;0
[[0, 0, 6, 6]];0;0;0;0;0;0;0;0;0
[[0, 0, 6, 6]];0;0;0;0;0;0;0;0;0
[[0, 0, 6, 6]];0;0;0;0;0;0;0;0;0
[[0, 0, 6, 6]];0;0;0;0;0;0;0;0;0
[[0, 0, 6, 6]];0;0;0;0;0;0;0;0;0
[[0, 0, 6, 6]];0;0;0;0;0;0;0;0;0
[[0, 0, 6, 6]];0;0;0;0;0;0;0;0;0
[[0, 0, 6, 6]];0;0;0;0;0;0;0;0;0
[[0, 0, 6, 6]];0;0;0;0;0;0;0;0;0
[[0, 0, 6, 6]];0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;[[0, 1, 2, 8]];0;0;0;0
