block;bee_hive;loaf;boat;tub;blinker;toad;beacon;pulsar;glider;heat;occupancy
0;0;0;0;0;0;0;0;0;0;0;160
0;0;0;0;0;0;0;0;0;0;136;106
0;0;0;0;0;0;0;0;0;0;106;82
0;0;0;0;0;0;0;0;0;0;87;103
0;0;0;0;0;0;0;0;0;0;94;75
0;0;0;0;0;0;0;0;0;0;74;73
0;0;0;0;0;0;0;0;0;0;64;71
0;0;0;0;0;[[0, 1, 1, 7]];0;0;0;0;61;66
[[0, 0, 10, 14]];0;0;0;0;0;0;0;0;0;60;54
[[0, 0, 10, 14]];0;0;0;0;[[0, 1, 2, 14]];0;0;0;0;43;55
[[0, 0, 10, 14]];0;0;0;0;0;0;0;0;0;42;61
[[0, 0, 10, 14]];0;0;0;0;0;0;0;0;0;48;75
[[0, 0, 10, 14]];0;0;0;0;0;0;0;0;0;66;63
0;0;0;0;0;0;0;0;0;0;53;78
0;0;0;0;0;0;0;0;0;0;89;75
0;0;0;0;0;0;0;0;0;0;69;62
0;0;0;0;0;0;0;0;0;0;55;59
0;0;0;0;0;0;0;0;0;0;51;60
0;[[0, 0, 11, 13]];0;0;0;0;0;0;0;0;48;60
0;0;0;0;0;0;0;0;0;0;49;67
0;0;0;0;0;[[0, 1, 14, 5]];0;0;0;0;63;64
0;0;0;0;0;0;0;0;0;0;58;70
0;0;0;0;0;0;0;0;0;0;69;75
0;0;0;0;0;[[0, 1, 16, 15]];0;0;0;0;64;69
0;[[0, 0, 11, 12]];0;0;0;0;0;0;0;0;63;70
0;0;0;0;0;0;0;0;0;0;64;60
0;0;0;0;0;0;0;0;0;0;53;71
0;0;0;0;0;0;0;0;0;0;64;65
0;0;0;0;0;0;0;0;0;0;50;61
0;0;0;0;0;[[0, 1, 10, 16]];0;0;0;0;52;59
[[0, 0, 13, 14]];0;0;0;0;0;0;0;0;0;51;66
0;0;0;0;0;0;0;0;0;0;63;63
0;0;0;0;0;0;0;0;0;0;57;74
0;0;0;0;0;0;0;0;0;0;64;68
0;0;0;0;0;0;0;0;0;0;72;74
0;0;0;0;0;0;0;0;0;0;64;64
0;0;0;0;0;[[0, 1, 12, 16]];0;0;0;0;56;46
0;0;0;0;0;0;0;0;0;0;46;42
0;0;0;0;0;0;0;0;0;0;31;41
0;0;0;0;0;0;0;0;0;0;33;38
0;0;0;0;0;0;0;0;0;0;34;52
0;0;0;0;0;0;0;0;0;0;43;41
0;0;0;0;0;0;0;0;0;0;35;40
0;0;0;0;0;0;0;0;0;0;32;42
0;0;0;0;0;[[0, 1, 8, 5]];0;0;0;0;41;41
0;0;0;0;0;0;0;0;0;0;38;37
0;0;0;0;0;[[0, 1, 13, 6]];0;0;0;0;28;41
0;0;0;0;0;0;0;0;0;0;31;48
0;0;0;0;0;0;0;0;0;0;32;54
0;0;0;0;0;0;0;0;0;0;40;56
0;0;0;0;0;0;0;0;0;0;50;66
0;0;0;0;0;0;0;0;0;0;50;58
0;0;0;0;0;0;0;0;0;0;47;55
0;0;0;0;0;0;0;0;0;0;49;52
0;0;0;0;0;0;0;0;0;0;48;54
0;0;0;0;0;0;0;0;0;0;54;50
0;0;0;0;0;0;0;0;0;0;41;47
0;0;0;0;0;0;0;0;0;0;46;41
0;0;0;0;0;[[0, 1, 3, 10]];0;0;0;0;40;45
0;0;0;0;0;0;0;0;0;0;48;47
0;0;0;0;0;0;0;0;0;0;53;58
0;0;0;0;0;0;0;0;0;0;51;35
0;0;0;0;0;0;0;0;0;0;34;25
0;0;0;0;0;0;0;0;0;0;25;26
0;0;0;0;0;0;0;0;0;0;23;27
0;0;0;0;0;0;0;0;0;0;21;28
0;0;0;0;0;0;0;0;0;0;26;28
0;0;0;0;0;0;0;0;0;0;22;18
0;0;0;0;0;0;0;0;0;0;17;13
0;0;0;0;0;0;0;0;0;0;11;12
0;0;0;0;0;0;0;0;0;0;9;13
0;0;0;0;0;0;0;0;0;0;7;14
0;0;0;0;0;0;0;0;0;0;6;14
0;0;0;0;0;0;0;0;0;0;6;16
0;0;0;0;0;0;0;0;0;0;14;12
0;0;0;0;0;0;0;0;0;0;10;22
0;0;0;0;0;0;0;0;0;0;30;16
0;0;0;0;0;0;0;0;0;0;16;32
0;0;0;0;[[0, 0, 11, 12]];0;0;0;0;0;48;24
0;0;0;0;[[0, 0, 11, 12]];0;0;0;0;0;16;40
0;0;0;0;[[0, 0, 11, 12]];0;0;0;0;0;40;32
0;0;0;0;[[0, 0, 11, 12]];0;0;0;0;0;8;40
0;0;0;0;[[0, 0, 11, 12]];[[0, 0, 11, 0], [0, 0, 11, 6], [0, 1, 5, 12]];0;0;0;0;28;44
0;0;0;0;0;0;0;0;0;0;28;56
0;0;0;0;0;0;0;0;0;0;52;20
0;0;0;0;0;0;0;0;0;0;20;24
0;[[0, 0, 11, 7], [0, 1, 6, 12], [0, 1, 15, 12]];0;0;0;0;0;0;0;0;16;24
0;[[0, 0, 11, 7], [0, 1, 6, 12], [0, 1, 15, 12]];0;0;0;0;0;0;0;0;0;24
0;[[0, 0, 11, 7], [0, 1, 6, 12], [0, 1, 15, 12]];0;0;0;0;0;0;0;0;0;24
0;[[0, 0, 11, 7], [0, 1, 6, 12], [0, 1, 15, 12]];0;0;0;0;0;0;0;0;0;24
0;[[0, 0, 11, 7], [0, 1, 6, 12], [0, 1, 15, 12]];0;0;0;0;0;0;0;0;0;24
0;[[0, 0, 11, 7], [0, 1, 6, 12], [0, 1, 15, 12]];0;0;0;0;0;0;0;0;0;24
0;[[0, 0, 11, 7], [0, 1, 6, 12], [0, 1, 15, 12]];0;0;0;0;0;0;0;0;0;24
0;[[0, 0, 11, 7], [0, 1, 6, 12], [0, 1, 15, 12]];0;0;0;0;0;0;0;0;0;24
0;[[0, 0, 11, 7], [0, 1, 6, 12], [0, 1, 15, 12]];0;0;0;0;0;0;0;0;0;24
0;[[0, 0, 11, 7], [0, 1, 6, 12], [0, 1, 15, 12]];0;0;0;0;0;0;0;0;0;24
0;[[0, 0, 11, 7], [0, 1, 6, 12], [0, 1, 15, 12]];0;0;0;0;0;0;0;0;0;24
0;[[0, 0, 11, 7], [0, 1, 6, 12], [0, 1, 15, 12]];0;0;0;0;0;0;0;0;0;24
0;[[0, 0, 11, 7], [0, 1, 6, 12], [0, 1, 15, 12]];0;0;0;0;0;0;0;0;0;24
0;[[0, 0, 11, 7], [0, 1, 6, 12], [0, 1, 15, 12]];0;0;0;0;0;0;0;0;0;24
