block;bee_hive;loaf;boat;tub;blinker;toad;beacon;pulsar;glider;heat;occupancy
0;0;0;0;0;0;0;0;0;0;0;116
0;0;0;0;0;0;0;0;0;0;110;58
0;0;0;0;0;0;0;0;0;0;60;66
0;0;0;0;0;0;0;0;0;0;58;72
0;0;0;0;0;0;0;0;0;0;71;81
0;0;0;0;0;0;0;0;0;0;74;69
0;0;0;0;0;0;0;0;0;0;59;78
0;0;0;0;0;0;0;0;0;0;65;75
[[0, 0, 3, 0]];0;0;0;0;0;0;0;0;0;58;83
0;0;0;0;0;0;0;0;0;0;63;80
0;0;0;0;0;0;0;0;0;0;75;73
0;0;0;0;0;[[0, 1, 2, 4]];0;0;0;0;67;74
0;0;0;0;0;0;0;0;0;0;70;54
0;0;0;0;0;0;0;0;0;0;62;48
0;0;0;0;0;0;0;0;0;0;51;55
0;0;0;0;0;[[0, 0, 13, 9]];0;0;0;0;41;40
0;0;0;0;0;0;0;0;0;0;46;48
0;0;0;0;0;0;0;0;0;0;47;45
0;0;0;0;0;0;0;0;0;0;38;49
0;0;0;0;0;0;0;0;0;0;34;37
0;0;0;0;0;0;0;0;0;0;30;39
0;0;0;0;0;0;0;0;0;0;25;42
0;0;0;0;0;[[0, 0, 9, 6]];0;0;0;0;30;40
0;0;0;0;0;0;0;0;0;0;34;38
[[0, 0, 2, 12]];0;0;0;0;0;0;0;0;0;27;43
0;0;0;0;0;0;0;0;0;0;37;42
0;0;0;0;0;[[0, 0, 2, 12]];0;0;0;0;45;39
0;0;0;0;0;0;0;0;0;0;43;42
0;0;0;0;0;0;0;0;0;0;46;32
0;0;0;0;0;[[0, 1, 11, 4]];0;0;0;0;27;29
0;0;0;0;0;0;0;0;0;0;25;32
0;0;0;0;0;0;0;0;0;0;19;29
0;[[0, 0, 10, 4]];0;0;0;0;0;0;0;0;25;28
0;0;0;0;0;0;0;0;0;0;26;28
0;0;0;0;0;0;0;0;0;0;25;27
0;0;0;0;0;[[0, 0, 6, 7]];0;0;0;0;27;24
0;0;0;0;0;0;0;0;0;0;19;25
0;0;0;0;0;0;0;0;0;0;23;24
0;0;0;0;0;0;0;0;0;0;24;20
0;0;0;0;0;0;0;0;0;0;19;27
0;0;0;0;0;0;0;0;0;0;29;24
0;0;0;0;0;0;0;0;0;0;18;28
0;0;0;0;0;0;0;0;0;0;24;24
0;0;0;0;0;0;0;0;0;0;23;29
0;0;0;0;0;0;0;0;0;0;25;26
0;0;0;0;0;0;0;0;0;0;20;24
0;0;0;0;0;0;0;0;0;0;20;22
0;0;0;0;0;0;0;0;0;0;18;26
0;0;0;0;0;0;0;0;0;0;26;26
0;0;0;0;0;0;0;0;0;0;25;31
