block;bee_hive;loaf;boat;tub;blinker;toad;beacon;pulsar;glider;heat;occupancy
0;0;0;0;0;[[0, 1, 10, 13]];0;0;0;0;0;76
0;0;0;0;0;0;0;0;0;0;81;91
0;0;0;0;0;0;0;0;0;0;79;72
0;0;0;0;0;0;0;0;0;0;77;75
0;0;0;0;0;0;0;0;0;0;77;64
0;0;0;0;0;0;0;0;0;0;53;57
[[0, 0, 9, 9]];0;0;0;0;0;0;0;0;0;49;56
0;0;0;0;0;0;0;0;0;0;47;59
0;0;0;0;0;0;0;0;0;0;51;62
0;0;0;0;0;0;0;0;0;0;47;59
0;0;0;0;0;0;0;0;0;0;55;46
0;0;0;0;0;0;0;0;0;0;40;42
0;0;0;0;0;0;0;0;0;0;31;43
0;0;0;0;0;0;0;0;0;0;34;47
0;0;0;0;0;0;0;0;0;0;38;43
0;0;0;0;0;0;0;0;0;0;39;46
0;0;0;0;0;0;0;0;0;0;42;34
0;0;0;0;0;0;0;0;0;0;33;35
0;0;0;0;0;0;0;0;0;0;28;35
0;0;0;0;0;0;0;0;0;0;31;26
0;0;0;0;0;0;0;0;0;0;24;26
0;0;0;0;0;0;0;0;0;0;18;26
0;0;0;0;0;0;0;0;0;0;20;28
0;0;0;0;0;0;0;0;0;0;22;28
0;0;0;0;0;0;0;0;0;0;25;15
0;0;0;0;0;0;0;0;0;0;13;16
0;0;0;0;0;0;0;0;0;0;16;16
0;0;0;0;0;0;0;0;0;0;17;25
0;0;0;0;0;0;0;0;0;0;23;14
0;0;0;0;0;0;0;0;0;0;15;19
0;0;0;0;0;0;0;0;0;0;19;16
0;0;0;0;0;0;0;0;0;0;8;14
0;0;0;0;0;0;0;0;0;0;7;11
0;0;0;0;0;0;0;0;0;0;9;12
0;0;0;0;0;0;0;0;0;0;6;10
0;0;0;0;0;0;0;0;0;0;5;9
0;0;0;0;0;0;0;0;0;0;8;7
0;0;0;0;0;0;0;0;0;0;5;6
0;0;0;0;0;0;0;0;0;0;5;7
0;0;0;0;0;0;0;0;0;0;2;9
0;0;0;0;0;0;0;0;0;0;5;8
0;0;0;0;0;0;0;0;0;0;5;9
0;0;0;0;0;0;0;0;0;0;3;12
0;0;0;0;0;0;0;0;0;0;9;11
0;0;0;0;0;0;0;0;0;0;11;18
0;0;0;0;0;[[0, 0, 8, 10]];0;0;0;0;19;11
0;0;0;0;0;0;0;0;0;0;12;11
0;0;0;0;0;0;0;0;0;0;9;10
0;0;0;0;0;0;0;0;0;0;7;13
0;0;0;0;0;0;0;0;0;0;13;16
0;0;0;0;0;0;0;0;0;0;9;19
0;0;0;0;0;0;0;0;0;0;12;19
0;0;0;0;0;0;0;0;0;0;8;23
0;0;0;0;0;0;0;0;0;0;20;25
0;0;0;0;0;0;0;0;0;0;16;35
0;0;0;0;0;0;0;0;0;0;38;25
0;0;0;0;0;0;0;0;0;0;23;32
0;0;0;0;0;0;0;0;0;0;27;27
0;0;0;0;0;[[0, 1, 9, 5]];0;0;0;0;22;37
0;0;0;0;0;[[0, 0, 9, 5]];0;0;0;0;33;30
0;0;0;0;0;0;0;0;0;0;28;46
