block;bee_hive;loaf;boat;tub;blinker;toad;beacon;pulsar;glider;heat;occupancy
0;0;0;0;0;0;0;0;0;0;0;88
0;0;0;0;0;0;0;0;0;0;89;85
0;0;0;0;0;0;0;0;0;0;83;62
0;0;0;0;0;0;0;0;0;0;48;66
0;0;0;0;0;0;0;0;0;0;60;62
[[0, 0, 5, 3]];[[0, 0, 8, 5]];0;0;0;0;0;0;0;0;53;65
0;0;0;0;0;0;0;0;0;0;56;59
0;0;0;0;0;0;0;0;0;0;39;66
0;0;0;0;0;0;0;0;0;0;36;74
0;0;0;0;0;[[0, 1, 0, 13]];0;0;0;0;63;65
0;0;0;0;0;0;0;0;0;0;61;56
0;0;0;0;0;0;0;0;0;0;55;53
0;0;0;0;0;0;0;0;0;0;47;44
0;0;0;0;0;0;0;0;0;0;43;51
0;0;0;0;0;0;0;0;0;0;46;39
0;0;0;0;0;0;0;0;0;0;38;45
0;0;0;0;0;[[0, 0, 12, 4]];0;0;0;0;48;45
0;0;0;0;0;0;0;0;0;0;57;26
[[0, 0, 9, 7]];0;0;0;0;0;0;0;0;0;25;21
[[0, 0, 9, 7]];0;0;0;0;0;0;0;0;0;15;14
[[0, 0, 9, 7]];0;0;0;0;0;0;0;0;0;8;12
[[0, 0, 2, 5], [0, 0, 9, 7]];0;0;0;0;0;0;0;0;0;5;13
[[0, 0, 2, 5], [0, 0, 9, 7]];0;0;0;0;0;0;0;0;0;4;13
[[0, 0, 2, 5], [0, 0, 9, 7]];0;0;0;0;0;0;0;0;0;4;13
[[0, 0, 2, 5], [0, 0, 9, 7]];0;0;0;0;0;0;0;0;0;4;13
[[0, 0, 2, 5], [0, 0, 9, 7]];0;0;0;0;0;0;0;0;[[0, 0, 13, 13]];4;13
[[0, 0, 2, 5], [0, 0, 9, 7]];0;0;0;0;0;0;0;0;0;4;13
[[0, 0, 2, 5], [0, 0, 9, 7]];0;0;0;0;0;0;0;0;0;4;13
[[0, 0, 2, 5], [0, 0, 9, 7]];0;0;0;0;0;0;0;0;0;4;13
[[0, 0, 2, 5], [0, 0, 9, 7]];0;0;0;0;0;0;0;0;0;4;13
[[0, 0, 2, 5], [0, 0, 9, 7]];0;0;0;0;0;0;0;0;0;4;13
[[0, 0, 2, 5], [0, 0, 9, 7]];0;0;0;0;0;0;0;0;0;4;13
[[0, 0, 2, 5], [0, 0, 9, 7]];0;0;0;0;0;0;0;0;0;4;13
[[0, 0, 2, 5], [0, 0, 9, 7]];0;0;0;0;0;0;0;0;[[0, 0, 11, 0]];4;13
[[0, 0, 2, 5], [0, 0, 9, 7]];0;0;0;0;0;0;0;0;0;4;13
[[0, 0, 2, 5], [0, 0, 9, 7]];0;0;0;0;0;0;0;0;0;4;13
[[0, 0, 2, 5], [0, 0, 9, 7]];0;0;0;0;0;0;0;0;0;4;13
[[0, 0, 2, 5], [0, 0, 9, 7]];0;0;0;0;0;0;0;0;[[0, 0, 10, 1]];4;13
[[0, 0, 2, 5], [0, 0, 9, 7]];0;0;0;0;0;0;0;0;0;4;13
[[0, 0, 2, 5], [0, 0, 9, 7]];0;0;0;0;0;0;0;0;0;4;13
[[0, 0, 2, 5], [0, 0, 9, 7]];0;0;0;0;0;0;0;0;0;4;13
[[0, 0, 2, 5], [0, 0, 9, 7]];0;0;0;0;0;0;0;0;[[0, 0, 9, 2]];4;13
[[0, 0, 2, 5], [0, 0, 9, 7]];0;0;0;0;0;0;0;0;0;4;13
[[0, 0, 2, 5], [0, 0, 9, 7]];0;0;0;0;0;0;0;0;0;4;13
[[0, 0, 2, 5], [0, 0, 9, 7]];0;0;0;0;0;0;0;0;0;4;13
[[0, 0, 2, 5]];0;0;0;0;0;0;0;0;0;6;15
[[0, 0, 2, 5]];0;0;0;0;0;0;0;0;0;11;12
[[0, 0, 2, 5], [0, 0, 9, 7]];0;0;0;0;0;0;0;0;0;8;14
[[0, 0, 2, 5]];0;0;0;0;0;0;0;0;0;8;16
[[0, 0, 2, 5]];0;0;0;0;0;0;0;0;0;10;14
[[0, 0, 2, 5]];0;0;0;0;[[0, 0, 8, 4]];0;0;0;0;11;11
[[0, 0, 2, 5]];0;0;0;0;0;0;0;0;0;9;12
[[0, 0, 2, 5]];0;0;0;0;0;0;0;0;0;7;13
[[0, 0, 2, 5]];0;0;0;0;0;0;0;0;0;4;15
[[0, 0, 2, 5]];0;0;0;0;0;0;0;0;0;3;18
[[0, 0, 2, 5]];0;0;0;0;0;0;0;0;0;12;16
[[0, 0, 2, 5]];0;0;0;0;0;0;0;0;0;10;26
[[0, 0, 2, 5]];0;0;0;0;0;0;0;0;0;30;20
[[0, 0, 2, 5]];0;0;0;0;0;0;0;0;0;16;36
0;0;0;0;[[0, 0, 8, 3]];0;0;0;0;0;49;29
0;0;0;0;[[0, 0, 8, 3]];0;0;0;0;0;20;43
0;0;0;0;[[0, 0, 8, 3]];0;0;0;0;0;43;32
0;0;0;0;[[0, 0, 8, 3]];0;0;0;0;0;14;38
0;0;0;0;[[0, 0, 8, 3]];[[0, 0, 8, 12]];0;0;0;0;30;42
0;0;0;0;0;0;0;0;0;0;30;56
0;0;0;0;0;0;0;0;0;0;48;30
0;0;0;0;0;0;0;0;0;0;25;31
0;[[0, 1, 12, 3]];0;0;0;0;0;0;0;0;28;35
0;[[0, 1, 12, 3]];0;0;0;0;0;0;0;0;23;32
